dataset,dataset_key,citation_key,citation,anthology,languages,license
CommonsenseQA,,talmor-etal-2019-commonsenseqa,"@inproceedings{talmor-etal-2019-commonsenseqa,
    title = ""{C}ommonsense{QA}: A Question Answering Challenge Targeting Commonsense Knowledge"",
    author = ""Talmor, Alon  and
      Herzig, Jonathan  and
      Lourie, Nicholas  and
      Berant, Jonathan"",
    editor = ""Burstein, Jill  and
      Doran, Christy  and
      Solorio, Thamar"",
    booktitle = ""Proceedings of the 2019 Conference of the North {A}merican Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 1 (Long and Short Papers)"",
    month = jun,
    year = ""2019"",
    address = ""Minneapolis, Minnesota"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/N19-1421/"",
    doi = ""10.18653/v1/N19-1421"",
    pages = ""4149--4158"",
    abstract = ""When answering a question, people often draw upon their rich world knowledge in addition to the particular context. Recent work has focused primarily on answering questions given some relevant document or context, and required very little general background. To investigate question answering with prior knowledge, we present CommonsenseQA: a challenging new dataset for commonsense question answering. To capture common sense beyond associations, we extract from ConceptNet (Speer et al., 2017) multiple target concepts that have the same semantic relation to a single source concept. Crowd-workers are asked to author multiple-choice questions that mention the source concept and discriminate in turn between each of the target concepts. This encourages workers to create questions with complex semantics that often require prior knowledge. We create 12,247 questions through this procedure and demonstrate the difficulty of our task with a large number of strong baselines. Our best baseline is based on BERT-large (Devlin et al., 2018) and obtains 56{\%} accuracy, well below human performance, which is 89{\%}.""
}",talmor-etal-2019-commonsenseqa,EN,MIT
BBH,,suzgun-etal-2023-challenging,"@inproceedings{suzgun-etal-2023-challenging,
    title = ""Challenging {BIG}-Bench Tasks and Whether Chain-of-Thought Can Solve Them"",
    author = {Suzgun, Mirac  and
      Scales, Nathan  and
      Sch{\""a}rli, Nathanael  and
      Gehrmann, Sebastian  and
      Tay, Yi  and
      Chung, Hyung Won  and
      Chowdhery, Aakanksha  and
      Le, Quoc  and
      Chi, Ed  and
      Zhou, Denny  and
      Wei, Jason},
    editor = ""Rogers, Anna  and
      Boyd-Graber, Jordan  and
      Okazaki, Naoaki"",
    booktitle = ""Findings of the Association for Computational Linguistics: ACL 2023"",
    month = jul,
    year = ""2023"",
    address = ""Toronto, Canada"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2023.findings-acl.824/"",
    doi = ""10.18653/v1/2023.findings-acl.824"",
    pages = ""13003--13051"",
    abstract = ""BIG-Bench (Srivastava et al., 2022) is a diverse evaluation suite that focuses on tasks believed to be beyond the capabilities of current language models. Language models have already made good progress on this benchmark, with the best model in the BIG-Bench paper outperforming average reported human-rater results on 65{\%} of the BIG-Bench tasks via few-shot prompting. But on what tasks do language models fall short of average human-rater performance, and are those tasks actually unsolvable by current language models? In this work, we focus on a suite of 23 challenging BIG-Bench tasks which we call BIG-Bench Hard (BBH). These are the tasks for which prior language model evaluations did not outperform the average human-rater. We find that applying chain-of-thought (CoT) prompting to BBH tasks enables PaLM to surpass the average human-rater performance on 10 of the 23 tasks, and Codex (code-davinci-002) to surpass the average human-rater performance on 17 of the 23 tasks. Since many tasks in BBH require multi-step reasoning, few-shot prompting without CoT, as done in the BIG-Bench evaluations (Srivastava et al., 2022), substantially underestimates the best performance and capabilities of language models, which is better captured via CoT prompting. As further analysis, we explore the interaction between CoT and model scale on BBH, finding that CoT enables emergent task performance on several BBH tasks with otherwise flat scaling curves.""
}",suzgun-etal-2023-challenging,EN,MIT
MATH,,hendrycksmath2021,"@article{hendrycksmath2021,
    title={Measuring Mathematical Problem Solving With the MATH Dataset},
    author={Dan Hendrycks
    and Collin Burns
    and Saurav Kadavath
    and Akul Arora
    and Steven Basart
    and Eric Tang
    and Dawn Song
    and Jacob Steinhardt},
    journal={arXiv preprint arXiv:2103.03874},
    year={2021}
}",,EN,MIT
HumanEval,,chen2021evaluating,"@misc{chen2021evaluating,
      title={Evaluating Large Language Models Trained on Code},
      author={Mark Chen and Jerry Tworek and Heewoo Jun and Qiming Yuan and Henrique Ponde de Oliveira Pinto and Jared Kaplan and Harri Edwards and Yuri Burda and Nicholas Joseph and Greg Brockman and Alex Ray and Raul Puri and Gretchen Krueger and Michael Petrov and Heidy Khlaaf and Girish Sastry and Pamela Mishkin and Brooke Chan and Scott Gray and Nick Ryder and Mikhail Pavlov and Alethea Power and Lukasz Kaiser and Mohammad Bavarian and Clemens Winter and Philippe Tillet and Felipe Petroski Such and Dave Cummings and Matthias Plappert and Fotios Chantzis and Elizabeth Barnes and Ariel Herbert-Voss and William Hebgen Guss and Alex Nichol and Alex Paino and Nikolas Tezak and Jie Tang and Igor Babuschkin and Suchir Balaji and Shantanu Jain and William Saunders and Christopher Hesse and Andrew N. Carr and Jan Leike and Josh Achiam and Vedant Misra and Evan Morikawa and Alec Radford and Matthew Knight and Miles Brundage and Mira Murati and Katie Mayer and Peter Welinder and Bob McGrew and Dario Amodei and Sam McCandlish and Ilya Sutskever and Wojciech Zaremba},
      year={2021},
      eprint={2107.03374},
      archivePrefix={arXiv},
      primaryClass={cs.LG}
}",,EN,MIT
MBPP,,austin2021program,"@article{austin2021program,
  title={Program Synthesis with Large Language Models},
  author={Austin, Jacob and Odena, Augustus and Nye, Maxwell and Bosma, Maarten and Michalewski, Henryk and Dohan, David and Jiang, Ellen and Cai, Carrie and Terry, Michael and Le, Quoc and others},
  journal={arXiv preprint arXiv:2108.07732},
  year={2021}",,EN,cc-by-4.0
GSM8k,,cobbe2021training,"@article{cobbe2021gsm8k,
  title={Training Verifiers to Solve Math Word Problems},
  author={Cobbe, Karl and Kosaraju, Vineet and Bavarian, Mohammad and Chen, Mark and Jun, Heewoo and Kaiser, Lukasz and Plappert, Matthias and Tworek, Jerry and Hilton, Jacob and Nakano, Reiichiro and Hesse, Christopher and Schulman, John},
  journal={arXiv preprint arXiv:2110.14168},
  year={2021}
}",,EN,MIT
GPQA,,rein2024gpqa,"@inproceedings{rein2024gpqa,
      title={{GPQA}: A Graduate-Level Google-Proof Q\&A Benchmark},
      author={David Rein and Betty Li Hou and Asa Cooper Stickland and Jackson Petty and Richard Yuanzhe Pang and Julien Dirani and Julian Michael and Samuel R. Bowman},
      booktitle={First Conference on Language Modeling},
      year={2024},
      url={https://openreview.net/forum?id=Ti67584b98}
}",,EN,cc-by-4.0
MultiNativQA,,hasan2025nativqa,"@misc{hasan2025nativqa,
      title={NativQA: Multilingual Culturally-Aligned Natural Query for LLMs}, 
      author={Md. Arid Hasan and Maram Hasanain and Fatema Ahmad and Sahinur Rahman Laskar and Sunaya Upadhyay and Vrunda N Sukhadia and Mucahid Kutlu and Shammur Absar Chowdhury and Firoj Alam},
      year={2025},
      eprint={2407.09823},
      archivePrefix={arXiv},
      primaryClass={cs.CL},
      url={https://arxiv.org/abs/2407.09823}, 
}",,EN,cc-by-nc-sa-4.0
CulturalBench,,chiu2024culturalbench,"@misc{chiu2024culturalbench,
      title={CulturalBench: A Robust, Diverse, and Challenging Cultural Benchmark by Human-AI CulturalTeaming}, 
      author={Yu Ying Chiu and Liwei Jiang and Bill Yuchen Lin and Chan Young Park and Shuyue Stella Li and Sahithya Ravi and Mehar Bhatia and Maria Antoniak and Yulia Tsvetkov and Vered Shwartz and Yejin Choi},
      year={2025},
      eprint={2410.02677},
      archivePrefix={arXiv},
      primaryClass={cs.CL},
      url={https://arxiv.org/abs/2410.02677}, 
}",,EN,"cc-by-4.0
"
SeaEval,,wang-etal-2024-seaeval,"@inproceedings{wang-etal-2024-seaeval,
    title = ""{S}ea{E}val for Multilingual Foundation Models: From Cross-Lingual Alignment to Cultural Reasoning"",
    author = ""Wang, Bin  and
      Liu, Zhengyuan  and
      Huang, Xin  and
      Jiao, Fangkai  and
      Ding, Yang  and
      Aw, AiTi  and
      Chen, Nancy"",
    editor = ""Duh, Kevin  and
      Gomez, Helena  and
      Bethard, Steven"",
    booktitle = ""Proceedings of the 2024 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers)"",
    month = jun,
    year = ""2024"",
    address = ""Mexico City, Mexico"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2024.naacl-long.22/"",
    doi = ""10.18653/v1/2024.naacl-long.22"",
    pages = ""370--390"",
    abstract = ""We present SeaEval, a benchmark for multilingual foundation models. In addition to characterizing how these models understand and reason with natural language, we also investigate how well they comprehend cultural practices, nuances, and values. Alongside standard accuracy metrics, we investigate the brittleness of foundation models in the dimensions of semantics and multilinguality. Our analyses span both open-sourced and closed models, leading to empirical results across classic NLP tasks, reasoning, and cultural comprehension. Key findings indicate (1) Many models exhibit varied behavior when given paraphrased instructions. (2) Many models still suffer from exposure bias (e.g., positional bias, majority label bias). (3) For questions rooted in factual, scientific, and commonsense knowledge, consistent responses are expected across multilingual queries that are semantically equivalent. Yet, most models surprisingly demonstrate inconsistent performance on these queries. (4) Multilingually-trained models have not attained ``balanced multilingual'' capabilities. Our endeavors underscore the need for more generalizable semantic representations and enhanced multilingual contextualization. SeaEval can serve as a launchpad for more thorough investigations and evaluations for multilingual and multicultural scenarios.""
}",wang-etal-2024-seaeval,EN,cc-by-nc-4.0
CANDLE CCSK,,nguyen2023extracting,"@inproceedings{nguyen2023extracting,
   title={Extracting Cultural Commonsense Knowledge at Scale},
   url={http://dx.doi.org/10.1145/3543507.3583535},
   DOI={10.1145/3543507.3583535},
   booktitle={Proceedings of the ACM Web Conference 2023},
   publisher={ACM},
   author={Nguyen, Tuan-Phong and Razniewski, Simon and Varde, Aparna and Weikum, Gerhard},
   year={2023},
   month=apr, pages={1907–1917},
   collection={WWW ’23} }",,EN,CC BY 4.0
GeoMLAMA,,yin-etal-2022-geomlama,"@inproceedings{yin-etal-2022-geomlama,
    title = ""{G}eo{MLAMA}: Geo-Diverse Commonsense Probing on Multilingual Pre-Trained Language Models"",
    author = ""Yin, Da  and
      Bansal, Hritik  and
      Monajatipoor, Masoud  and
      Li, Liunian Harold  and
      Chang, Kai-Wei"",
    editor = ""Goldberg, Yoav  and
      Kozareva, Zornitsa  and
      Zhang, Yue"",
    booktitle = ""Proceedings of the 2022 Conference on Empirical Methods in Natural Language Processing"",
    month = dec,
    year = ""2022"",
    address = ""Abu Dhabi, United Arab Emirates"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2022.emnlp-main.132/"",
    doi = ""10.18653/v1/2022.emnlp-main.132"",
    pages = ""2039--2055"",
    abstract = ""Recent work has shown that Pre-trained Language Models (PLMs) store the relational knowledge learned from data and utilize it for performing downstream tasks. However, commonsense knowledge across different regions may vary. For instance, the color of bridal dress is white in American weddings whereas it is red in Chinese weddings. In this paper, we introduce a benchmark dataset, Geo-diverse Commonsense Multilingual Language Models Analysis (GeoMLAMA), for probing the diversity of the relational knowledge in multilingual PLMs. GeoMLAMA contains 3125 prompts in English, Chinese, Hindi, Persian, and Swahili, with a wide coverage of concepts shared by people from American, Chinese, Indian, Iranian and Kenyan cultures. We benchmark 11 standard multilingual PLMs on GeoMLAMA. Interestingly, we find that 1) larger multilingual PLMs variants do not necessarily store geo-diverse concepts better than its smaller variant; 2) multilingual PLMs are not intrinsically biased towards knowledge from the Western countries (the United States); 3) the native language of a country may not be the best language to probe its knowledge and 4) a language may better probe knowledge about a non-native country than its native country.""
}",yin-etal-2022-geomlama,EN,unknown
NormAd,,rao-etal-2025-normad,"@inproceedings{rao-etal-2025-normad,
    title = ""{N}orm{A}d: A Framework for Measuring the Cultural Adaptability of Large Language Models"",
    author = ""Rao, Abhinav Sukumar  and
      Yerukola, Akhila  and
      Shah, Vishwa  and
      Reinecke, Katharina  and
      Sap, Maarten"",
    editor = ""Chiruzzo, Luis  and
      Ritter, Alan  and
      Wang, Lu"",
    booktitle = ""Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers)"",
    month = apr,
    year = ""2025"",
    address = ""Albuquerque, New Mexico"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2025.naacl-long.120/"",
    doi = ""10.18653/v1/2025.naacl-long.120"",
    pages = ""2373--2403"",
    ISBN = ""979-8-89176-189-6"",
    abstract = ""To be effectively and safely deployed to global user populations, large language models (LLMs) may need to adapt outputs to user values and cultures, not just know about them. We introduce NormAd, an evaluation framework to assess LLMs' cultural adaptability, specifically measuring their ability to judge social acceptability across varying levels of cultural norm specificity, from abstract values to explicit social norms. As an instantiation of our framework, we create NormAd-Eti, a benchmark of 2.6k situational descriptions representing social-etiquette related cultural norms from 75 countries. Through comprehensive experiments on NormAd-Eti, we find that LLMs struggle to accurately judge social acceptability across these varying degrees of cultural contexts and show stronger adaptability to English-centric cultures over those from the Global South. Even in the simplest setting where the relevant social norms are provided, the best LLMs' performance ($\textless$ 82{\%}) lags behind humans ($\textgreater$ 95{\%}). In settings with abstract values and country information, model performance drops substantially ($\textless$ 60{\%}), while human accuracy remains high ($\textgreater$90{\%}). Furthermore, we find that models are better at recognizing socially acceptable versus unacceptable situations. Our findings showcase the current pitfalls in socio-cultural reasoning of LLMs which hinder their adaptability for global audiences.""
}",rao-etal-2025-normad,EN,cc-by-4.0
CultureBank,,shi-etal-2024-culturebank,"@inproceedings{shi-etal-2024-culturebank,
    title = ""{C}ulture{B}ank: An Online Community-Driven Knowledge Base Towards Culturally Aware Language Technologies"",
    author = ""Shi, Weiyan  and
      Li, Ryan  and
      Zhang, Yutong  and
      Ziems, Caleb  and
      Yu, Sunny  and
      Horesh, Raya  and
      Paula, Rog{\'e}rio Abreu De  and
      Yang, Diyi"",
    editor = ""Al-Onaizan, Yaser  and
      Bansal, Mohit  and
      Chen, Yun-Nung"",
    booktitle = ""Findings of the Association for Computational Linguistics: EMNLP 2024"",
    month = nov,
    year = ""2024"",
    address = ""Miami, Florida, USA"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2024.findings-emnlp.288/"",
    doi = ""10.18653/v1/2024.findings-emnlp.288"",
    pages = ""4996--5025"",
    abstract = ""To enhance language models' cultural awareness, we design a generalizable pipeline to construct cultural knowledge bases from different online communities on a massive scale. With the pipeline, we construct CultureBank, a knowledge base built upon users' self-narratives with 12K cultural descriptors sourced from TikTok and 11K from Reddit. Unlike previous cultural knowledge resources, CultureBank contains diverse views on cultural descriptors to allow flexible interpretation of cultural knowledge, and contextualized cultural scenarios to help grounded evaluation. With CultureBank, we evaluate different LLMs' cultural awareness, and identify areas for improvement. We also fine-tune a language model on CultureBank: experiments show that it achieves better performances on two downstream cultural tasks in a zero-shot setting. Finally, we offer recommendations for future culturally aware language technologies. We release the CultureBank dataset, code and models at https://github.com/SALT-NLP/CultureBank. Our project page is at culturebank.github.io""
}",shi-etal-2024-culturebank,EN,MIT
KorNAT,,lee-etal-2024-kornat,"@inproceedings{lee-etal-2024-kornat,
    title = ""{K}or{NAT}: {LLM} Alignment Benchmark for {K}orean Social Values and Common Knowledge"",
    author = ""Lee, Jiyoung  and
      Kim, Minwoo  and
      Kim, Seungho  and
      Kim, Junghwan  and
      Won, Seunghyun  and
      Lee, Hwaran  and
      Choi, Edward"",
    editor = ""Ku, Lun-Wei  and
      Martins, Andre  and
      Srikumar, Vivek"",
    booktitle = ""Findings of the Association for Computational Linguistics: ACL 2024"",
    month = aug,
    year = ""2024"",
    address = ""Bangkok, Thailand"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2024.findings-acl.666/"",
    doi = ""10.18653/v1/2024.findings-acl.666"",
    pages = ""11177--11213"",
    abstract = ""To reliably deploy Large Language Models (LLMs) in a specific country, they must possess an understanding of the nation{'}s culture and basic knowledge. To this end, we introduce National Alignment, which measures the alignment between an LLM and a targeted country from two aspects: social value alignment and common knowledge alignment. We constructed KorNAT, the first benchmark that measures national alignment between LLMs and South Korea. KorNat contains 4K and 6K multiple-choice questions for social value and common knowledge, respectively. To attain an appropriately aligned ground truth in the social value dataset, we conducted a large-scale public survey with 6,174 South Koreans. For common knowledge, we created the data based on the South Korea text books and GED exams. Our dataset creation process is meticulously designed based on statistical sampling theory, and we also introduce metrics to measure national alignment, including three variations of social value alignment. We tested seven LLMs and found that only few models passed our reference score, indicating there exists room for improvement. Our dataset has received government approval following an assessment by a government-affiliated organization dedicated to evaluating dataset quality.""
}",lee-etal-2024-kornat,EN,cc-by-nc-2.0
